asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term
B0C3V5X3QT,"JBL Tune 520BT Wireless On Ear Headphones with Mic, Upto 57H Battery, Speed Charge : 5 Min Charge Gives Up to 3H of Playback, Multipoint Connect, Customizable Bass with Headphones App, BT 5.3 (Black)",JBL,2799,(44% off),4.0,21.6K,Audio,https://www.amazon.in/dp/B0C3V5X3QT,headphones
B0FG2QT7H2,"Boat Rockerz 512 ANC,(~40dB) Hybrid ANC, 80H Battery, 40mm Drivers, 40ms Low Latency, ENx Tech,Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Headphone with Mic (Cosmic Black)",Boat,2899,(64% off),4.2,30.6K,Audio,https://www.amazon.in/dp/B0FG2QT7H2,headphones
B0DGTSRX3R,"boAt Rockerz 480, RGB LEDs,6 Light Modes, 40mm Drivers,Beast Mode, 60H Battery, ENx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Black Sabre)",boAt,1499,(60% off),4.1,4.4K,Audio,https://www.amazon.in/dp/B0DGTSRX3R,headphones
B0FQJGBKCX,"pTron Studio w/ 60Hrs Playtime, Wireless Over-Ear Headphones with HD Mic, Immersive Sound, 40mm Drivers, BT5.4, Dual-Device Pairing, 3.5mm Aux Port, TF Card Slot & Type-C Fast Charging (Jet Black)",pTron,599,(77% off),4.0,256,Audio,https://www.amazon.in/dp/B0FQJGBKCX,headphones
B0GCDPD6MB,Snaphead Vibe Bluetooth Wireless Over Ear Headphone | Bluetooth Headset | Type C Charging | Up to 13 Hours Non-Stop Music| 40mm Speaker Driver | Super Bass - Sapphire Blue,Snaphead,999,(88% off),,,Audio,https://www.amazon.in/dp/B0GCDPD6MB,headphones
B0FC2W8WJM,"Boat 2025 Launch Rockerz 411, 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, ENx Tech, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)",Boat,1399,(53% off),4.1,27.8K,Audio,https://www.amazon.in/dp/B0FC2W8WJM,headphones
B0FPRCDS5J,"pTron Studio Pro w/ 65Hrs Playtime, Wireless Over Ear Headphones w/HD Mic & TruTalk AI-ENC Calls, Low-Latency Game & Music, 40mm Drivers, BT5.4, Dual Device Pairing & Type-C Fast Charging (Jet Black)",pTron,699,(73% off),4.1,303,Audio,https://www.amazon.in/dp/B0FPRCDS5J,headphones
B0BS1RT9S2,"Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Blue Model : YY2958",Sony,3979,(34% off),4.2,28K,Audio,https://www.amazon.in/dp/B0BS1RT9S2,headphones
B0FDKQ2FG6,"Bose New QuietComfort Ultra Bluetooth Headphones (2nd Gen), Wireless Headphones with Spatial Audio, Over Ear Noise Cancelling with Mic, Up to 30 Hours of Play time, Driftwood Sand - Limited Edition",Bose,49900,,4.4,1.4K,Audio,https://www.amazon.in/dp/B0FDKQ2FG6,headphones
B0BS1QCFHX,"Sony WH-CH720N Active Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Adaptive Sound Control, Quick Charge, Up to 35Hrs Battery, Customized EQ- Black Model : YY2966",Sony,8255,(45% off),4.3,14.9K,Audio,https://www.amazon.in/dp/B0BS1QCFHX,headphones
