asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term,value_score,device_type,is_wired,has_mic
B0C3V5X3QT,jbl tune 520bt wireless on ear headphones with mic upto 57h battery speed charge  5 min charge gives up to 3h of playback multipoint connect customizable bass with headphones app bt 53 black,jbl,2799.0,44.0,4.0,21600.0,audio,https://www.amazon.in/dp/B0C3V5X3QT,headphones,0.0014290818149339049,headphones,0,1
B0FG2QT7H2,boat rockerz 512 anc40db hybrid anc 80h battery 40mm drivers 40ms low latency enx techstream ad free music via app support bluetooth headphones wireless headphone with mic cosmic black,boat,2899.0,64.0,4.2,30600.0,audio,https://www.amazon.in/dp/B0FG2QT7H2,headphones,0.00144877543980683,headphones,0,1
B0DGTSRX3R,boat rockerz 480 rgb leds6 light modes 40mm driversbeast mode 60h battery enx tech stream ad free music via app support bluetooth headphones wireless over ear headphone with mic black sabre,boat,1499.0,60.0,4.1,4400.0,audio,https://www.amazon.in/dp/B0DGTSRX3R,headphones,0.002735156771180787,headphones,0,1
B0FQJGBKCX,ptron studio w 60hrs playtime wireless overear headphones with hd mic immersive sound 40mm drivers bt54 dualdevice pairing 35mm aux port tf card slot  typec fast charging jet black,ptron,599.0,77.0,4.0,256.0,audio,https://www.amazon.in/dp/B0FQJGBKCX,headphones,0.00667779632721202,headphones,1,1
B0GCDPD6MB,snaphead vibe bluetooth wireless over ear headphone  bluetooth headset  type c charging  up to 13 hours nonstop music 40mm speaker driver  super bass  sapphire blue,snaphead,999.0,88.0,4.0,0.0,audio,https://www.amazon.in/dp/B0GCDPD6MB,headphones,0.004004004004004004,headphones,0,0
B0FC2W8WJM,boat 2025 launch rockerz 411 40ms low latency 40hrs battery 40mm drivers enx tech stream ad free music via app support bluetooth headphones wireless over ear headphone with mic bold blue,boat,1399.0,53.0,4.1,27800.0,audio,https://www.amazon.in/dp/B0FC2W8WJM,headphones,0.002930664760543245,headphones,0,1
B0FPRCDS5J,ptron studio pro w 65hrs playtime wireless over ear headphones whd mic  trutalk aienc calls lowlatency game  music 40mm drivers bt54 dual device pairing  typec fast charging jet black,ptron,699.0,73.0,4.1,303.0,audio,https://www.amazon.in/dp/B0FPRCDS5J,headphones,0.005865522174535049,headphones,0,1
B0BS1RT9S2,sony whch520 wireless bluetooth headphones on ear with mic up to 50hrs battery quick charge dsee upscale multipoint connectivity voice assistant customized eqblue model  yy2958,sony,3979.0,34.0,4.2,28000.0,audio,https://www.amazon.in/dp/B0BS1RT9S2,headphones,0.0010555415933651672,headphones,0,1
B0FDKQ2FG6,bose new quietcomfort ultra bluetooth headphones 2nd gen wireless headphones with spatial audio over ear noise cancelling with mic up to 30 hours of play time driftwood sand  limited edition,bose,49900.0,0.0,4.4,1400.0,audio,https://www.amazon.in/dp/B0FDKQ2FG6,headphones,8.817635270541083e-05,headphones,0,1
B0BS1QCFHX,sony whch720n active noise cancellation wireless bluetooth over ear headphones with mic adaptive sound control quick charge up to 35hrs battery customized eq black model  yy2966,sony,8255.0,45.0,4.3,14900.0,audio,https://www.amazon.in/dp/B0BS1QCFHX,headphones,0.0005208964264082375,headphones,0,1
B0FM37JFPH,boat rockerz 371 40mm drivers 50hrs battery 60ms low latency enx tech bt v54 foldable cups voice assistant bluetooth headphones wireless headphone with mic sage green,boat,999.0,67.0,3.9,92.0,audio,https://www.amazon.in/dp/B0FM37JFPH,headphones,0.003903903903903904,headphones,0,1
B0CD1FHLMH,soundcore by anker h30i wireless onear headphones foldable design pure bass 70h playtime bluetooth 53 lightweight and comfortable app connectivity multipoint connection black,soundcore,1299.0,68.0,4.2,9900.0,audio,https://www.amazon.in/dp/B0CD1FHLMH,headphones,0.003233256351039261,headphones,0,0
B0B1PXM75C,noise two wireless on ear headphones with 50 hours playtime low latencyup to 45ms 4 play modes dual pairing bt v53 serene blue,noise,1699.0,66.0,3.6,4300.0,audio,https://www.amazon.in/dp/B0B1PXM75C,headphones,0.0021188934667451444,headphones,0,0
B00KGZZ824,sony mdrzx110a on ear stereo wired headphones white without mic,sony,899.0,35.0,4.0,66900.0,audio,https://www.amazon.in/dp/B00KGZZ824,headphones,0.004449388209121246,headphones,1,1
B07L8KV2KC,zebronics thunder over ear bluetooth 53 wireless headphones with 60h backup gaming mode dual pairing enc aux micro sd voice assistant comfortable earcups call function brown,zebronics,799.0,43.0,3.8,82400.0,audio,https://www.amazon.in/dp/B07L8KV2KC,headphones,0.004755944931163955,headphones,1,0
B09CYX92NB,jbl tune 770nc wireless over ear anc headphones with mic upto 70 hrs battery speed charge  5 min charge gives up to 3h of playback customized eq google fast pair dual pairing bt 53 black,jbl,4999.0,50.0,4.0,10500.0,audio,https://www.amazon.in/dp/B09CYX92NB,headphones,0.0008001600320064013,headphones,0,1
B0FTT21DNT,sounce headphone case for jbl tune 770nc wireless headphone  portable carrying case cover  hard eva shell travel storage case with shockproof waterproof and premium protective cover  black,sounce,249.0,75.0,4.2,343.0,audio,https://www.amazon.in/dp/B0FTT21DNT,headphones,0.016867469879518072,headphones,0,0
B0F9YWD4Z3,goboult newly launched soniq over ear bluetooth headphones with 70h playtime 40mm bass drivers zen enc mic typec fast charging dual pairing aux wireless headphones white,goboult,1999.0,67.0,3.8,1100.0,audio,https://www.amazon.in/dp/B0F9YWD4Z3,headphones,0.0019009504752376188,headphones,1,1
B0FGV2CNN5,ptron studio evo 70hrs playtime wireless over ear headphones with hd mic lowlatency gamemoviemusic modes punchy bass bt53 dual device pairing voice assistant  typec fast charging blue,ptron,799.0,75.0,4.1,1300.0,audio,https://www.amazon.in/dp/B0FGV2CNN5,headphones,0.005131414267834793,headphones,0,1
B08CHPGTSF,zebronics zeb200hm wired on ear headphone with mic dual 35mm connectors adjustable headband for pc computerslaptop black,zebronics,449.0,36.0,3.2,3800.0,audio,https://www.amazon.in/dp/B08CHPGTSF,headphones,0.0071269487750556795,headphones,1,1
B00Y4ORQ46,logitech h111 wired on ear headphones with mic black,logitech,745.0,22.0,3.9,20200.0,audio,https://www.amazon.in/dp/B00Y4ORQ46,headphones,0.00523489932885906,headphones,1,1
B0FG2QDFD7,boat rockerz 512 anc40db hybrid anc 80h battery 40mm drivers 40ms low latency enx techstream ad free music via app support bluetooth headphones wireless headphone with mic bold blue,boat,2899.0,64.0,4.2,30600.0,audio,https://www.amazon.in/dp/B0FG2QDFD7,headphones,0.00144877543980683,headphones,0,1
B0B4G44RFS,zebronics zebstorm on ear wired headphone with 35mm jack built in microphone for calling 15 meter cable soft ear cushion adjustable headband foldable ear cups and lightweight design black,zebronics,499.0,38.0,3.7,3500.0,audio,https://www.amazon.in/dp/B0B4G44RFS,headphones,0.007414829659318637,headphones,1,1
B0FNN74DWP,goboult newly launched fluid x headphones bluetooth wireless 60h playtime 40mm bass driverzen enc mictypec charginggaming mode btv 54 made in india headphones wireless with mic pine green,goboult,1999.0,67.0,3.8,5500.0,audio,https://www.amazon.in/dp/B0FNN74DWP,headphones,0.0019009504752376188,headphones,0,1
B0DV5HX4JZ,boat rockerz 650 pro 2025 launchtouchswipe controlsdolby audio80hrs battery2mics enxfast chargeapp supportdual pairbluetooth over ear headphoneswireless headphone with mic starry night,boat,2799.0,69.0,4.1,3100.0,audio,https://www.amazon.in/dp/B0DV5HX4JZ,headphones,0.0014648088603072525,headphones,0,1
B0BZHT8T7T,boat rockerz 551anc 100hrs battery hybrid anc35db fast charge ambient sound mode  dual eq modes enx tech bluetooth headphones over ear wireless headphone with mic sage green,boat,2099.0,74.0,4.0,350000.0,audio,https://www.amazon.in/dp/B0BZHT8T7T,headphones,0.0019056693663649356,headphones,0,1
B0B1PX62WJ,noise two wireless on ear headphones with 50 hours playtime low latencyup to 45ms 4 play modes dual pairing bt v53 bold black,noise,1499.0,70.0,3.6,4300.0,audio,https://www.amazon.in/dp/B0B1PX62WJ,headphones,0.002401601067378252,headphones,0,0
B0CWVXTK6Z,sony ult wear whult900n noise cancellation wireless bluetooth over ear headphones with massive bass up to 50hrs batterywhite,sony,15990.0,36.0,4.3,3100.0,audio,https://www.amazon.in/dp/B0CWVXTK6Z,headphones,0.0002689180737961226,headphones,0,0
B074ZF7PVZ,boat bassheads 900 on ear wired headphone with mic,boat,999.0,60.0,4.1,99900.0,audio,https://www.amazon.in/dp/B074ZF7PVZ,headphones,0.004104104104104104,headphones,1,1
B0FC327SXQ,boat 2025 launch rockerz 412 60h battery 40mm drivers 40ms low latency enx tech stream ad free music via app support bluetooth headphones wireless over ear headphone with mic active black,boat,1299.0,57.0,3.8,423.0,audio,https://www.amazon.in/dp/B0FC327SXQ,headphones,0.002925327174749807,headphones,0,1
B0B6G9TPNQ,sennheiser momentum 4 wireless over ear headphones german design anc 60h battery customizable sound 4 digital mics for crystalclear calls multipoint connectivity 2 yr warranty white,sennheiser,24990.0,29.0,4.3,11600.0,audio,https://www.amazon.in/dp/B0B6G9TPNQ,headphones,0.0001720688275310124,headphones,0,0
B01DF26V7A,jbl c100si wired in ear headphones with mic jbl pure bass sound one button multifunction remote premium metallic finish angled buds for comfort fit red,jbl,649.0,50.0,4.0,200000.0,audio,https://www.amazon.in/dp/B01DF26V7A,headphones,0.0061633281972265025,earbuds,1,1
B0DFDT1TWC,marshall monitor iii active noise canceling over ear bluetooth headphones,marshall,29999.0,0.0,4.5,678.0,audio,https://www.amazon.in/dp/B0DFDT1TWC,headphones,0.00015000500016667222,headphones,0,0
B08KHT2HDT,marshall major iv wireless bluetooth on ear headphone with mic black,marshall,9999.0,33.0,4.3,16100.0,audio,https://www.amazon.in/dp/B08KHT2HDT,headphones,0.00043004300430043004,headphones,0,1
B0B5RMKMJL,zebronics jet pro premium wired gaming on ear headphone with led for headband  earcups 40mm neodymium drivers 2 meter braided cable with mic suspension design 35mm  usb connector black blue,zebronics,888.0,53.0,3.9,4900.0,audio,https://www.amazon.in/dp/B0B5RMKMJL,headphones,0.004391891891891892,headphones,1,1
B0F9PJJLCT,noise newly launched airwave max xr wireless overear headphones with 120h playtime anc hfa tech spatial audio dual pairingbt v60pearl beige,noise,3499.0,30.0,4.2,223.0,audio,https://www.amazon.in/dp/B0F9PJJLCT,headphones,0.0012003429551300372,headphones,0,0
B0FZL2NCFV,boat 2025 launch rockerz prime 415 360 spatial audio 120h battery 40mm drivers aienx tech beast mode asap charge  app support bluetooth headphones wireless headphone with mic black sabre,boat,1799.0,55.0,3.8,13.0,audio,https://www.amazon.in/dp/B0FZL2NCFV,headphones,0.002112284602556976,headphones,0,1
B0CQ2TBSPV,sennheiser momentum 4 wireless over ear headphones german design anc 60h battery customizable sound 4 digital mics for crystalclear calls multipoint connectivity 1 yr warranty graphite,sennheiser,24990.0,29.0,4.3,11600.0,audio,https://www.amazon.in/dp/B0CQ2TBSPV,headphones,0.0001720688275310124,headphones,0,0
B0D575QW4W,zebronics duke plus wireless over ear headphone with anc enc gaming mode dual pairing rapid charge upto 70 hours backup bluetooth v54 aux comfortable earcushion deep bass beige,zebronics,1499.0,81.0,3.8,16300.0,audio,https://www.amazon.in/dp/B0D575QW4W,headphones,0.002535023348899266,headphones,1,0
B00HVLUR86,audiotechnica athm50x wired over ear headphones without mic black,audiotechnica,10999.0,50.0,4.6,32900.0,audio,https://www.amazon.in/dp/B00HVLUR86,headphones,0.0004182198381671061,headphones,1,1
B0CQKDKPS6,sennheiser accentum plus wireless over ear headphonesgerman designadaptive anc50h batterysound personalizationtouch controlmultipoint connectivityclear calls10min charge  5h2y warrantyblack,sennheiser,14990.0,25.0,4.1,1200.0,audio,https://www.amazon.in/dp/B0CQKDKPS6,headphones,0.0002735156771180787,headphones,0,0
B086LLF2R9,jabra evolve2 85 wireless pc headset with charging stand  noise cancelling uc certified stereo headphones with longlasting battery  usba bluetooth adapter  black,jabra,61499.0,28.0,4.0,240.0,audio,https://www.amazon.in/dp/B086LLF2R9,headphones,6.504170799525196e-05,headphones,0,0
B0GL1SQRQ2,sony wh1000xm6 the best wireless noise canceling headphones hd nc processor qn3 12 microphones adaptive nc optimizer mastered by engineers studioquality sand pink,sony,39990.0,20.0,4.6,2300.0,audio,https://www.amazon.in/dp/B0GL1SQRQ2,headphones,0.00011502875718929732,headphones,0,0
B0CBG1YG5F,hammer bash max over the ear wireless bluetooth headphones with mic touch control deep bass upto 40 hours playtime bluetooth 53 workouttravel cool grey,hammer,1999.0,76.0,3.8,3800.0,audio,https://www.amazon.in/dp/B0CBG1YG5F,headphones,0.0019009504752376188,headphones,0,1
B0B1PW53LT,noise two wireless on ear headphones with 50 hours playtime low latencyup to 45ms 4 play modes dual pairing bt v53 calm white,noise,1699.0,66.0,3.6,4300.0,audio,https://www.amazon.in/dp/B0B1PW53LT,headphones,0.0021188934667451444,headphones,0,0
B0F3QJLD3B,sony wh1000xm6 the best wireless noise canceling headphones hd nc processor qn3 12 microphones adaptive nc optimizer mastered by engineers studioqualityplatinum silver,sony,39990.0,20.0,4.6,2300.0,audio,https://www.amazon.in/dp/B0F3QJLD3B,headphones,0.00011502875718929732,headphones,0,0
B0FS1Z4GT3,noise airwave max 6 wireless bluetooth headphones 2026 launch hires ldac audio adaptive anc 45db 120h battery low latency 80ms deep bass overear noise cancelling headphones cobalt blue,noise,6499.0,7.0,4.1,569.0,audio,https://www.amazon.in/dp/B0FS1Z4GT3,headphones,0.0006308662871210955,headphones,0,0
B0G59967NX,portronics muffs m6 over ear wireless bluetooth headphone with upto 40 hours playtime dual pairing 40mm driver hd mic bluetooth 54v foldable design type c fast charging black,portronics,1149.0,54.0,4.4,122.0,audio,https://www.amazon.in/dp/B0G59967NX,headphones,0.0038294168842471716,headphones,0,1
B0CY1PL36Q,noise airwave max 4 wireless over ear headphones with 70h playtime enc 40mm driver low latencyup to 40ms dual pairing bt v54 calm beige,noise,1699.0,72.0,3.7,4100.0,audio,https://www.amazon.in/dp/B0CY1PL36Q,headphones,0.002177751618599176,headphones,0,0
B0FC2YG6SK,boat 2025 launch rockerz 413 60h battery 40mm drivers dual pairenx tech low latency stream ad free music via app support bluetooth headphones wireless over ear headphone with mic ash grey,boat,1399.0,53.0,3.8,345.0,audio,https://www.amazon.in/dp/B0FC2YG6SK,headphones,0.0027162258756254468,headphones,0,1
B081Q85RTF,ant esports h520w lightweight gaming over ear wired headphones with mic 35mm jack 50 mm drivers  compatible with pc ps4  xbox onenintendomobile black,ant,798.0,73.0,3.8,3800.0,audio,https://www.amazon.in/dp/B081Q85RTF,headphones,0.0047619047619047615,headphones,1,1
B0D5CZQ31M,marshall major v wireless on ear headphones cream,marshall,14999.0,0.0,4.5,3200.0,audio,https://www.amazon.in/dp/B0D5CZQ31M,headphones,0.0003000200013334222,headphones,0,0
